Fayette,"1,109,325","1,046,574 1,015,297","951,977",44,,-5.7 -3.0 -6.2 80
Fentress,"399,283","412,848 429,790","418,558",70,,3.4 4.1 -2.6 46
Franklin,"1,066,752","1,068,809 1,076,271","1,035,573",41,,0.2 0.7 -3.8 61
Gibson,"1,271,711","1,289,462 1,315,988","1,272,853",34,,1.4 2.1 -3.3 57
"",,Real gross domestic product,,,,Percent change from preceding period
"",,Thousands of chained (2012) dollars,,Rank in state,,Percent change Rank in state
"",2017,2018 2019,2020,2020,2018,2019 2020 2020
Giles,"1,038,455","1,032,081 1,025,107","988,291",43,,-0.6 -0.7 -3.6 58
Grainger,"359,392","357,284 379,408","377,608",72,,-0.6 6.2 -0.5 15
Greene,"2,240,275","2,224,082 2,182,765","2,066,215",23,,-0.7 -1.9 -5.3 73
Grundy,"218,761","215,936 212,465","211,012",85,,-1.3 -1.6 -0.7 21
Hamblen,"2,789,258","2,735,781 2,790,489","2,662,621",19,,-1.9 2.0 -4.6 68
Hamilton,"22,394,051","22,572,826 23,006,016","22,581,396",4,,0.8 1.9 -1.8 36
Hancock,"73,983","74,126 75,082","72,852",95,,0.2 1.3 -3.0 50
Hardeman,"558,261","554,603 526,207","506,489",62,,-0.7 -5.1 -3.7 59
Hardin,"825,202","887,401 841,457","840,834",49,,7.5 -5.2 -0.1 10
Hawkins,"1,649,167","1,571,146 1,480,785","1,356,046",32,,-4.7 -5.8 -8.4 88
Haywood,"713,569","703,235 615,248","565,029",60,,-1.4 -12.5 -8.2 87
Henderson,"663,705","664,255 653,126","602,941",58,,0.1 -1.7 -7.7 83
Henry,"1,138,789","1,093,578 1,127,724","1,062,972",40,,-4.0 3.1 -5.7 75
Hickman,"386,060","414,935 416,198","409,446",71,,7.5 0.3 -1.6 34
Houston,"130,291","129,098 133,739","126,747",91,,-0.9 3.6 -5.2 71
Humphreys,"801,677","681,624 639,762","614,438",57,-15.0,-6.1 -4.0 65
Jackson,"186,277","194,363 192,060","194,956",86,,4.3 -1.2 1.5 2
Jefferson,"1,391,615","1,421,777 1,475,668","1,463,687",30,,2.2 3.8 -0.8 23
Johnson,"362,190","350,280 363,486","359,269",73,,-3.3 3.8 -1.2 27
Knox,"23,761,578","24,394,219 24,604,994","24,085,375",3,,2.7 0.9 -2.1 37
Lake,"127,063","106,264 128,881","118,708",93,-16.4,21.3 -7.9 85
Lauderdale,"613,196","616,230 642,459","628,612",55,,0.5 4.3 -2.2 39
Lawrence,"926,374","924,753 945,090","938,694",45,,-0.2 2.2 -0.7 20
Lewis,"236,974","238,641 257,030","247,363",82,,0.7 7.7 -3.8 60
Lincoln,"973,894","978,013 980,756","897,575",47,,0.4 0.3 -8.5 89
Loudon,"1,640,711","1,713,908 1,877,917","1,883,046",25,,4.5 9.6 0.3 8
McMinn,"1,894,068","1,906,926 1,926,348","1,901,178",24,,0.7 1.0 -1.3 28
McNairy,"589,860","526,243 504,792","497,718",65,-10.8,-4.1 -1.4 30
Macon,"505,768","500,215 479,998","477,249",67,,-1.1 -4.0 -0.6 18
Madison,"5,421,544","5,440,172 5,455,918","5,381,593",10,,0.3 0.3 -1.4 29
Marion,"732,322","736,903 699,709","701,355",50,,0.6 -5.0 0.2 9
Marshall,"1,079,532","1,144,289 1,175,943","1,138,677",36,,6.0 2.8 -3.2 54
Maury,"3,845,027","3,636,995 3,845,992","3,725,221",16,,-5.4 5.7 -3.1 53
Meigs,"237,486","233,217 224,905","226,348",84,,-1.8 -3.6 0.6 4
Monroe,"1,314,769","1,311,564 1,306,968","1,227,178",35,,-0.2 -0.4 -6.1 78
Montgomery,"4,690,865","4,821,807 5,089,678","4,979,353",12,,2.8 5.6 -2.2 40
Moore,"406,973","472,976 471,217","452,741",68,16.2,-0.4 -3.9 63
Morgan,"255,934","260,014 270,012","271,348",78,,1.6 3.8 0.5 6
Obion,"1,073,830","1,003,982 1,075,223","1,081,824",38,,-6.5 7.1 0.6 5
Overton,"463,360","500,302 515,166","491,508",66,,8.0 3.0 -4.6 69
Perry,"171,076","170,882 175,291","158,587",89,,-0.1 2.6 -9.5 91
Pickett,"146,146","147,886 133,299","122,825",92,,1.2 -9.9 -7.9 84
Polk,"285,319","294,360 259,716","255,729",81,,3.2 -11.8 -1.5 31
Putnam,"2,985,408","3,079,719 3,131,686","3,058,788",18,,3.2 1.7 -2.3 42
Rhea,"1,709,297","1,826,112 1,672,769","1,451,092",31,,6.8 -8.4 -13.3 95
Roane,"2,360,111","2,256,805 2,385,322","2,307,569",21,,-4.4 5.7 -3.3 55
Robertson,"2,441,460","2,295,039 2,251,803","2,242,846",22,,-6.0 -1.9 -0.4 14
Rutherford,"14,454,894","14,815,421 15,589,446","15,177,427",6,,2.5 5.2 -2.6 47
Scott,"512,652","521,889 516,689","499,813",64,,1.8 -1.0 -3.3 56
Sequatchie,"271,501","264,501 257,140","258,140",80,,-2.6 -2.8 0.4 7
Sevier,"3,683,122","3,811,975 3,968,523","3,566,399",17,,3.5 4.1 -10.1 93
Shelby,"56,266,780","56,377,138 56,406,750","55,126,272",2,,0.2 0.1 -2.3 41
Smith,"601,325","691,963 675,200","645,015",54,15.1,-2.4 -4.5 67
Stewart,"779,478","811,513 720,143","650,214",53,,4.1 -11.3 -9.7 92
Sullivan,"6,890,324","6,895,748 6,753,407","6,559,245",7,,0.1 -2.1 -2.9 48
Sumner,"6,266,313","6,248,590 6,313,663","5,923,814",8,,-0.3 1.0 -6.2 79
Tipton,"1,071,174","1,046,650 1,074,062","1,068,175",39,,-2.3 2.6 -0.5 17
Trousdale,"148,932","171,125 177,284","165,347",88,14.9,3.6 -6.7 82
Unicoi,"502,807","497,350 475,361","448,514",69,,-1.1 -4.4 -5.6 74
Union,"268,537","276,210 286,135","278,773",77,,2.9 3.6 -2.6 45
Van Buren,"94,402","87,058 88,117","82,597",94,,-7.8 1.2 -6.3 81
Warren,"1,306,551","1,292,185 1,315,086","1,307,192",33,,-1.1 1.8 -0.6 19
"",,Real gross domestic product,,,,Percent change from preceding period
"",,Thousands of chained (2012) dollars,,Rank in state,,Percent change Rank in state
"",2017,2018 2019 2020,,2020,2018,2019 2020 2020
Washington,"5,137,994","5,215,954 5,401,526 5,382,599",,9,,1.5 3.6 -0.4 13
Wayne,"284,936","293,496 297,716 297,224",,75,,3.0 1.4 -0.2 11
Weakley,"1,058,579","1,058,556 1,143,805 1,126,179",,37,,0.0 8.1 -1.5 32
White,"675,671","647,176 659,195 619,579",,56,,-4.2 1.9 -6.0 77
Williamson,"20,276,005","20,471,973 21,303,499 20,312,776",,5,,1.0 4.1 -4.7 70
Wilson,"4,509,939","4,798,160 4,896,567 4,860,387",,13,,6.4 2.1 -0.7 22
Texas,"1,664,218,546","1,729,286,556 1,785,317,908 1,734,321,101",,--,,3.9 3.2 -2.9 --
Anderson,"1,765,053","1,824,416 1,888,278 1,862,626",,92,,3.4 3.5 -1.4 111
Andrews,"5,027,278","4,996,133 5,015,055 4,123,206",,53,,-0.6 0.4 -17.8 236
Angelina,"2,908,550","3,018,807 3,077,484 2,953,591",,69,,3.8 1.9 -4.0 152
Aransas,"608,025","610,615 640,355 623,869",,170,,0.4 4.9 -2.6 132
Archer,"336,314","341,038 338,714 341,083",,197,,1.4 -0.7 0.7 75
Armstrong,"49,527","65,290 64,801 67,564",,252,31.8,-0.8 4.3 28
Atascosa,"4,010,600","4,125,654 4,620,153 3,705,898",,56,,2.9 12.0 -19.8 241
Austin,"1,248,529","1,326,154 1,359,535 1,366,143",,112,,6.2 2.5 0.5 78
Bailey,"417,674","416,236 424,805 427,114",,186,,-0.3 2.1 0.5 76
Bandera,"344,627","358,480 377,362 382,988",,191,,4.0 5.3 1.5 59
Bastrop,"1,983,676","2,099,633 2,181,750 2,245,470",,78,,5.8 3.9 2.9 43
Baylor,"155,361","160,414 164,713 180,357",,230,,3.3 2.7 9.5 10
Bee,"773,864","763,400 788,770 752,157",,160,,-1.4 3.3 -4.6 158
Bell,"14,673,843","14,855,513 15,190,059 15,353,319",,17,,1.2 2.3 1.1 70
Bexar,"90,740,405","95,088,795 96,105,465 94,233,083",,5,,4.8 1.1 -1.9 123
Blanco,"334,156","353,189 383,423 399,738",,188,,5.7 8.6 4.3 29
Borden,"482,986","568,830 854,088 722,142",,164,17.8,50.1 -15.4 230
Bosque,"518,396","523,137 537,403 563,788",,173,,0.9 2.7 4.9 25
Bowie,"3,287,142","3,269,678 3,238,755 3,206,085",,64,,-0.5 -0.9 -1.0 106
Brazoria,"14,867,792","15,386,690 15,115,082 15,032,084",,18,,3.5 -1.8 -0.5 98
Brazos,"9,124,809","9,502,826 9,739,560 9,620,229",,27,,4.1 2.5 -1.2 110
Brewster,"332,492","356,924 368,162 369,787",,195,,7.3 3.1 0.4 80
Briscoe,"96,724","105,058 104,986 95,319",,246,,8.6 -0.1 -9.2 190
Brooks,"368,686","352,634 342,481 330,654",,199,,-4.4 -2.9 -3.5 146
Brown,"1,308,890","1,316,704 1,316,807 1,293,877",,115,,0.6 0.0 -1.7 119
Burleson,"1,282,825","1,551,554 1,705,424 1,495,260",,104,20.9,9.9 -12.3 215
Burnet,"1,396,173","1,437,725 1,509,642 1,530,796",,101,,3.0 5.0 1.4 61
Caldwell,"853,827","907,246 912,817 924,603",,139,,6.3 0.6 1.3 64
Calhoun,"2,768,384","3,370,892 3,458,801 3,308,408",,61,21.8,2.6 -4.3 156
Callahan,"257,316","290,508 294,710 294,010",,208,12.9,1.4 -0.2 90
Cameron,"9,679,631","9,839,678 10,117,293 10,077,503",,26,,1.7 2.8 -0.4 93
Camp,"348,146","348,136 320,178 333,732",,198,,0.0 -8.0 4.2 30
Carson,"968,991","986,988 1,030,687 955,220",,137,,1.9 4.4 -7.3 179
Cass,"738,273","788,018 814,241 810,664",,154,,6.7 3.3 -0.4 94
Castro,"919,166","826,892 787,190 735,191",,161,-10.0,-4.8 -6.6 173
Chambers,"2,797,061","2,853,321 2,448,652 2,431,029",,77,,2.0 -14.2 -0.7 100
Cherokee,"1,364,127","1,341,057 1,341,960 1,389,321",,110,,-1.7 0.1 3.5 38
Childress,"197,306","200,681 206,766 223,431",,222,,1.7 3.0 8.1 15
Clay,"245,872","249,093 255,186 258,930",,216,,1.3 2.4 1.5 60
Cochran,"406,522","337,161 404,276 393,509",,190,-17.1,19.9 -2.7 136
Coke,"132,047","134,974 126,391 125,001",,239,,2.2 -6.4 -1.1 107
Coleman,"211,220","215,389 218,520 219,545",,223,,2.0 1.5 0.5 79
Collin,"59,054,882","62,749,137 64,095,670 65,098,585",,6,,6.3 2.1 1.6 55
Collingsworth,"74,195","75,703 75,877 74,745",,250,,2.0 0.2 -1.5 115
Colorado,"854,004","802,009 833,225 810,839",,153,,-6.1 3.9 -2.7 137
Comal,"5,312,858","5,568,360 5,856,949 6,032,698",,41,,4.8 5.2 3.0 41
Comanche,"367,260","366,649 412,462 459,602",,181,,-0.2 12.5 11.4 9
Concho,"104,334","109,370 120,646 137,765",,237,,4.8 10.3 14.2 6
Cooke,"2,880,966","2,551,591 2,325,818 2,162,701",,81,-11.4,-8.8 -7.0 178
Coryell,"1,522,536","1,515,447 1,479,194 1,465,314",,108,,-0.5 -2.4 -0.9 105
Cottle,"97,405","91,007 73,373 79,331",,249,,-6.6 -19.4 8.1 14
Crane,"1,204,375","1,025,510 1,152,039 1,026,365",,128,-14.9,12.3 -10.9 203
Crockett,"1,738,084","1,344,759 1,282,882 1,242,701",,119,-22.6,-4.6 -3.1 143
Crosby,"306,116","290,580 333,870 308,163",,205,,-5.1 14.9 -7.7 181
"",,Real gross domestic product,,,,Percent change from preceding period
"",,Thousands of chained (2012) dollars,,Rank in state,,Percent change Rank in state
"",2017,2018 2019,2020,2020,2018,2019 2020 2020
Culberson,"1,467,437","1,507,337 2,036,365","2,210,531",79,,2.7 35.1 8.6 12
Dallam,"882,432","765,482 764,277","725,495",162,-13.3,-0.2 -5.1 164
Dallas,"228,808,813","236,981,677 246,512,762","239,705,547",2,,3.6 4.0 -2.8 141
Dawson,"852,083","909,051 849,434","835,144",148,,6.7 -6.6 -1.7 116
Deaf Smith,"1,835,251","1,746,282 1,578,133","1,470,419",107,,-4.8 -9.6 -6.8 176
Delta,"109,830","99,319 100,862","103,743",243,,-9.6 1.6 2.9 44
Denton,"30,341,121","31,495,454 33,282,512","34,594,470",7,,3.8 5.7 3.9 33
DeWitt,"7,481,154","6,586,451 6,501,016","5,046,274",45,-12.0,-1.3 -22.4 245
Dickens,"139,218","138,575 134,036","126,730",238,,-0.5 -3.3 -5.5 166
Dimmit,"5,669,044","5,432,252 5,917,527","4,221,673",51,,-4.2 8.9 -28.7 254
Donley,"147,141","153,317 140,676","140,226",235,,4.2 -8.2 -0.3 91
Duval,"404,315","412,608 401,432","364,462",196,,2.1 -2.7 -9.2 191
Eastland,"647,276","814,348 839,457","763,674",157,25.8,3.1 -9.0 188
Ector,"11,178,384","12,904,779 13,506,926","11,190,764",24,15.4,4.7 -17.1 235
Edwards,"100,919","97,043 83,509","95,546",245,,-3.8 -13.9 14.4 5
Ellis,"5,401,006","5,807,118 5,939,989","6,059,144",40,,7.5 2.3 2.0 50
El Paso,"27,667,837","28,494,753 29,805,366","29,540,504",8,,3.0 4.6 -0.9 104
Erath,"1,348,865","1,418,352 1,501,302","1,503,316",103,,5.2 5.8 0.1 85
Falls,"352,288","367,577 374,175","397,223",189,,4.3 1.8 6.2 18
Fannin,"729,577","808,070 843,912","868,567",145,10.8,4.4 2.9 42
Fayette,"1,715,777","1,654,650 1,688,455","1,620,725",98,,-3.6 2.0 -4.0 151
Fisher,"210,591","275,851 262,415","280,304",212,31.0,-4.9 6.8 16
Floyd,"312,384","297,047 347,472","290,510",210,,-4.9 17.0 -16.4 231
Foard,"32,216","45,577 57,242","109,354",241,41.5,25.6 91.0 1
Fort Bend,"25,501,334","27,133,965 28,167,815","27,854,681",9,,6.4 3.8 -1.1 108
Franklin,"443,767","444,896 415,703","430,682",184,,0.3 -6.6 3.6 37
Freestone,"1,802,683","1,286,934 1,326,617","1,284,749",116,-28.6,3.1 -3.2 144
Frio,"1,409,808","1,477,657 1,429,979","1,232,086",121,,4.8 -3.2 -13.8 222
Gaines,"3,535,454","3,149,967 3,357,767","2,976,855",68,-10.9,6.6 -11.3 209
Galveston,"15,570,739","15,641,021 16,276,531","16,310,246",16,,0.5 4.1 0.2 84
Garza,"364,411","339,616 377,387","313,169",203,,-6.8 11.1 -17.0 233
Gillespie,"900,648","946,694 996,822","995,125",134,,5.1 5.3 -0.2 89
Glasscock,"4,176,315","5,069,065 5,864,146","4,879,207",46,21.4,15.7 -16.8 232
Goliad,"341,456","334,815 327,035","291,294",209,,-1.9 -2.3 -10.9 204
Gonzales,"4,888,990","4,730,757 5,246,041","4,155,550",52,,-3.2 10.9 -20.8 243
Gray,"1,046,952","1,061,843 1,049,981","979,058",136,,1.4 -1.1 -6.8 175
Grayson,"4,517,559","4,751,598 4,794,754","4,778,611",47,,5.2 0.9 -0.3 92
Gregg,"6,891,953","7,271,119 7,368,823","6,672,943",37,,5.5 1.3 -9.4 194
Grimes,"1,055,186","1,084,945 1,071,838","1,008,055",130,,2.8 -1.2 -6.0 169
Guadalupe,"5,359,557","5,538,906 7,056,072","7,475,402",32,,3.3 27.4 5.9 20
Hale,"1,163,476","1,189,314 1,325,975","1,301,424",114,,2.2 11.5 -1.9 122
Hall,"76,383","65,931 87,363","79,476",248,-13.7,32.5 -9.0 187
Hamilton,"220,684","231,843 240,797","260,759",215,,5.1 3.9 8.3 13
Hansford,"780,078","697,902 673,167","576,765",171,-10.5,-3.5 -14.3 224
Hardeman,"194,030","202,492 201,599","239,058",220,,4.4 -0.4 18.6 3
Hardin,"1,340,594","1,390,869 1,344,905","1,265,880",118,,3.8 -3.3 -5.9 168
Harris,"367,138,880","376,949,835 373,087,121","359,650,873",1,,2.7 -1.0 -3.6 148
Harrison,"4,417,657","4,498,912 4,383,225","4,293,290",50,,1.8 -2.6 -2.1 125
Hartley,"1,061,141","956,699 920,853","820,817",152,,-9.8 -3.7 -10.9 202
Haskell,"263,856","313,234 387,575","371,494",194,18.7,23.7 -4.1 154
Hays,"6,302,850","6,734,880 7,222,279","7,259,008",35,,6.9 7.2 0.5 77
Hemphill,"1,117,862","917,346 916,225","780,007",156,-17.9,-0.1 -14.9 228
Henderson,"1,661,215","1,656,474 1,730,667","1,795,455",93,,-0.3 4.5 3.7 35
Hidalgo,"19,028,886","19,468,939 19,944,793","19,817,948",14,,2.3 2.4 -0.6 99
Hill,"876,123","936,602 955,514","950,932",138,,6.9 2.0 -0.5 97
Hockley,"2,372,625","2,335,107 2,428,387","2,013,359",86,,-1.6 4.0 -17.1 234
Hood,"2,080,954","2,262,376 2,429,352","2,147,967",83,,8.7 7.4 -11.6 211
Hopkins,"1,388,115","1,477,385 1,564,821","1,522,055",102,,6.4 5.9 -2.7 139
Houston,"952,620","972,759 993,323","1,006,784",131,,2.1 2.1 1.4 62
Howard,"5,359,814","6,766,396 8,363,684","7,463,096",34,26.2,23.6 -10.8 201
Hudspeth,"159,625","179,381 180,132","183,240",228,12.4,0.4 1.7 52
Hunt,"4,092,195","4,245,870 4,444,498","3,791,069",54,,3.8 4.7 -14.7 227
"",,Real gross domestic product,,,,Percent change from preceding period
"",,Thousands of chained (2012) dollars,,Rank in state,,Percent change Rank in state
"",2017,2018 2019,2020,2020,2018,2019 2020 2020
Hutchinson,"7,963,716","6,710,439 7,090,427","7,465,837",33,-15.7,5.7 5.3 22
Irion,"1,830,605","1,544,390 1,976,121","1,724,602",95,-15.6,28.0 -12.7 218
Jack,"679,450","724,116 580,131","548,253",174,,6.6 -19.9 -5.5 167
Jackson,"647,196","694,029 748,894","674,231",168,,7.2 7.9 -10.0 196
Jasper,"961,228","974,354 959,790","921,514",140,,1.4 -1.5 -4.0 150
Jeff Davis,"73,313","77,052 77,177","82,230",247,,5.1 0.2 6.5 17
Jefferson,"20,347,594","20,886,563 22,059,368","20,688,536",13,,2.6 5.6 -6.2 170
Jim Hogg,"204,379","197,858 201,787","205,106",225,,-3.2 2.0 1.6 53
Jim Wells,"1,428,729","1,628,474 1,631,965","1,235,250",120,14.0,0.2 -24.3 248
Johnson,"6,317,234","6,268,076 6,449,549","6,443,442",38,,-0.8 2.9 -0.1 88
Jones,"424,897","414,256 426,608","427,890",185,,-2.5 3.0 0.3 82
Karnes,"12,500,167","11,898,936 12,645,963","9,430,808",28,,-4.8 6.3 -25.4 251
Kaufman,"3,092,495","3,244,135 3,450,214","3,578,188",59,,4.9 6.4 3.7 36
Kendall,"1,814,195","1,935,457 2,005,319","1,900,620",91,,6.7 3.6 -5.2 165
Kenedy,"289,013","286,875 354,635","270,987",213,,-0.7 23.6 -23.6 246
Kent,"429,457","386,920 373,545","285,089",211,,-9.9 -3.5 -23.7 247
Kerr,"1,726,467","1,844,913 1,930,054","1,921,027",89,,6.9 4.6 -0.5 96
Kimble,"128,835","143,311 141,558","143,089",233,11.2,-1.2 1.1 69
King,"232,993","206,803 190,305","138,739",236,-11.2,-8.0 -27.1 252
Kinney,"113,289","100,885 105,794","107,087",242,-10.9,4.9 1.2 66
Kleberg,"1,073,969","1,032,654 1,085,078","1,066,629",127,,-3.8 5.1 -1.7 117
Knox,"151,469","160,069 154,983","164,207",231,,5.7 -3.2 6.0 19
Lamar,"2,366,710","2,525,512 2,486,515","2,441,823",76,,6.7 -1.5 -1.8 121
Lamb,"819,367","763,958 743,666","724,220",163,,-6.8 -2.7 -2.6 134
Lampasas,"426,626","443,835 464,637","475,020",179,,4.0 4.7 2.2 48
La Salle,"7,355,349","7,111,750 7,656,815","6,816,675",36,,-3.3 7.7 -11.0 205
Lavaca,"1,458,479","1,519,141 1,654,694","1,486,598",105,,4.2 8.9 -10.2 198
Lee,"939,524","916,008 1,061,371","906,215",142,,-2.5 15.9 -14.6 226
Leon,"962,897","931,998 919,057","895,407",143,,-3.2 -1.4 -2.6 131
Liberty,"1,885,491","2,058,985 2,105,156","2,057,299",85,,9.2 2.2 -2.3 128
Limestone,"1,389,572","1,499,397 1,537,845","1,375,280",111,,7.9 2.6 -10.6 199
Lipscomb,"881,376","784,731 837,531","761,579",158,-11.0,6.7 -9.1 189
Live Oak,"2,122,362","1,943,844 2,483,608","2,012,592",87,,-8.4 27.8 -19.0 240
Llano,"681,330","673,119 688,463","711,981",166,,-1.2 2.3 3.4 40
Loving,"6,072,790","7,889,531 9,962,411","8,852,569",29,29.9,26.3 -11.1 206
Lubbock,"12,059,513","12,388,246 12,570,427","12,345,877",20,,2.7 1.5 -1.8 120
Lynn,"204,738","226,271 281,316","328,073",200,10.5,24.3 16.6 4
McCulloch,"360,452","379,645 337,888","301,902",206,,5.3 -11.0 -10.7 200
McLennan,"11,296,371","11,673,697 11,848,374","11,394,096",23,,3.3 1.5 -3.8 149
McMullen,"3,826,026","3,323,269 3,473,650","2,496,801",75,-13.1,4.5 -28.1 253
Madison,"873,118","803,436 824,426","795,861",155,,-8.0 2.6 -3.5 147
Marion,"252,151","262,377 263,754","263,934",214,,4.1 0.5 0.1 86
Martin,"7,052,016","9,182,189 13,387,119","11,631,421",22,30.2,45.8 -13.1 219
Mason,"120,841","129,245 127,301","123,837",240,,7.0 -1.5 -2.7 138
Matagorda,"2,111,878","1,984,714 2,130,224","2,158,531",82,,-6.0 7.3 1.3 63
Maverick,"1,498,143","1,589,461 1,608,240","1,537,391",100,,6.1 1.2 -4.4 157
Medina,"908,241","955,797 986,697","1,002,025",132,,5.2 3.2 1.6 56
Menard,"50,511","54,754 53,363","53,745",253,,8.4 -2.5 0.7 74
Midland,"22,083,897","26,448,177 30,777,357","27,249,485",11,19.8,16.4 -11.5 210
Milam,"903,367","569,848 611,092","568,603",172,-36.9,7.2 -7.0 177
Mills,"143,244","174,631 190,540","201,806",226,21.9,9.1 5.9 21
Mitchell,"515,192","472,913 459,362","436,932",183,,-8.2 -2.9 -4.9 159
Montague,"1,086,777","971,272 965,999","876,047",144,-10.6,-0.5 -9.3 193
Montgomery,"24,616,453","27,031,630 27,859,472","27,612,881",10,,9.8 3.1 -0.9 103
Moore,"2,172,830","2,658,965 3,328,078","3,053,944",67,22.4,25.2 -8.2 183
Morris,"630,326","672,151 657,428","630,144",169,,6.6 -2.2 -4.2 155
Motley,"27,663","29,865 30,896","38,411",254,,8.0 3.4 24.3 2
Nacogdoches,"2,610,433","2,630,155 2,556,789","2,536,876",74,,0.8 -2.8 -0.8 101
Navarro,"1,401,313","1,505,384 1,520,866","1,481,373",106,,7.4 1.0 -2.6 133
Newton,"445,004","484,212 516,384","483,167",178,,8.8 6.6 -6.4 172
Nolan,"938,081","922,571 973,510","984,130",135,,-1.7 5.5 1.1 68
Nueces,"18,350,464","19,136,531 19,935,184","18,938,817",15,,4.3 4.2 -5.0 162
"",,Real gross domestic product,,,,Percent change from preceding period
"",,Thousands of chained (2012) dollars,,Rank in state,,Percent change Rank in state
"",2017,2018 2019,2020,2020,2018,2019 2020 2020
Ochiltree,"1,527,744","1,468,386 1,398,079","1,134,754",125,,-3.9 -4.8 -18.8 239
Oldham,"359,692","381,143 336,304","378,965",192,,6.0 -11.8 12.7 7
Orange,"3,357,685","3,408,727 3,286,754","3,207,959",63,,1.5 -3.6 -2.4 129
Palo Pinto,"990,507","1,060,239 1,079,213","999,323",133,,7.0 1.8 -7.4 180
Panola,"2,662,152","2,630,185 3,033,146","3,088,166",66,,-1.2 15.3 1.8 51
Parker,"4,141,384","4,342,338 4,354,517","4,402,190",49,,4.9 0.3 1.1 67
Parmer,"1,108,079","1,050,100 1,032,223","1,009,325",129,,-5.2 -1.7 -2.2 127
Pecos,"2,695,629","3,114,728 4,001,420","3,640,749",58,15.5,28.5 -9.0 186
Polk,"1,221,731","1,217,138 1,265,711","1,271,294",117,,-0.4 4.0 0.4 81
Potter,"7,378,525","7,690,110 7,901,598","7,693,494",30,,4.2 2.8 -2.6 135
Presidio,"227,188","241,518 238,039","248,095",217,,6.3 -1.4 4.2 31
Rains,"178,984","190,531 197,778","208,186",224,,6.5 3.8 5.3 23
Randall,"3,551,220","3,575,846 3,637,769","3,675,465",57,,0.7 1.7 1.0 72
Reagan,"5,299,988","5,477,054 6,455,797","5,259,035",43,,3.3 17.9 -18.5 237
Real,"63,388","65,432 66,603","67,622",251,,3.2 1.8 1.5 58
Red River,"268,380","268,980 288,883","314,904",202,,0.2 7.4 9.0 11
Reeves,"8,373,518","11,453,664 16,109,739","12,880,078",19,36.8,40.7 -20.0 242
Refugio,"497,970","478,824 484,000","414,289",187,,-3.8 1.1 -14.4 225
Roberts,"1,204,216","902,706 942,163","822,998",150,-25.0,4.4 -12.6 217
Robertson,"3,172,283","2,882,044 3,046,148","3,153,135",65,,-9.1 5.7 3.5 39
Rockwall,"2,981,995","3,209,845 3,483,511","3,571,496",60,,7.6 8.5 2.5 47
Runnels,"303,778","311,906 318,513","309,775",204,,2.7 2.1 -2.7 140
Rusk,"2,747,452","2,777,706 2,769,577","2,747,437",70,,1.1 -0.3 -0.8 102
Sabine,"214,351","223,582 216,020","226,682",221,,4.3 -3.4 4.9 24
San Augustine,"865,264","891,620 1,212,939","1,177,440",123,,3.0 36.0 -2.9 142
San Jacinto,"319,381","326,856 356,020","372,988",193,,2.3 8.9 4.8 27
San Patricio,"2,191,281","2,267,866 2,336,277","2,616,235",73,,3.5 3.0 12.0 8
San Saba,"160,768","175,161 179,454","159,144",232,,9.0 2.5 -11.3 208
Schleicher,"168,925","161,512 190,128","193,064",227,,-4.4 17.7 1.5 57
Scurry,"2,463,242","2,417,599 2,404,029","2,079,736",84,,-1.9 -0.6 -13.5 220
Shackelford,"261,942","281,783 271,172","239,726",219,,7.6 -3.8 -11.6 212
Shelby,"1,435,859","1,489,858 1,441,324","1,329,658",113,,3.8 -3.3 -7.7 182
Sherman,"727,136","623,151 597,860","513,960",177,-14.3,-4.1 -14.0 223
Smith,"10,037,845","10,520,805 10,889,082","10,703,018",25,,4.8 3.5 -1.7 118
Somervell,"1,132,370","1,223,629 1,170,941","1,201,072",122,,8.1 -4.3 2.6 46
Starr,"1,397,051","1,352,247 1,387,854","1,443,062",109,,-3.2 2.6 4.0 32
Stephens,"542,704","538,849 560,642","532,372",175,,-0.7 4.0 -5.0 163
Sterling,"326,957","308,421 320,490","321,389",201,,-5.7 3.9 0.3 83
Stonewall,"324,256","288,381 242,357","182,674",229,-11.1,-16.0 -24.6 249
Sutton,"395,839","378,508 350,621","298,399",207,,-4.4 -7.4 -14.9 229
Swisher,"657,370","670,442 571,428","464,291",180,,2.0 -14.8 -18.7 238
Tarrant,"103,724,310","108,409,796 111,665,897","106,112,067",4,,4.5 3.0 -5.0 160
Taylor,"5,588,268","5,866,091 6,079,124","6,311,829",39,,5.0 3.6 3.8 34
Terrell,"203,139","153,783 160,459","141,616",234,-24.3,4.3 -11.7 214
Terry,"841,381","783,007 777,079","686,699",167,,-6.9 -0.8 -11.6 213
Throckmorton,"159,268","156,319 115,144","102,212",244,,-1.9 -26.3 -11.2 207
Titus,"2,180,197","1,850,520 1,769,032","1,729,882",94,-15.1,-4.4 -2.2 126
Tom Green,"4,937,113","5,364,497 5,653,698","5,512,365",42,,8.7 5.4 -2.5 130
Travis,"103,827,155","109,829,318 114,678,235","115,792,021",3,,5.8 4.4 1.0 73
Trinity,"227,087","226,716 238,379","242,243",218,,-0.2 5.1 1.6 54
Tyler,"413,261","401,236 417,686","438,022",182,,-2.9 4.1 4.9 26
Upshur,"810,090","803,147 855,116","843,333",147,,-0.9 6.5 -1.4 112
Upton,"6,785,955","6,660,653 8,291,570","7,523,215",31,,-1.8 24.5 -9.3 192
Uvalde,"835,269","816,554 869,584","865,667",146,,-2.2 6.5 -0.5 95
